--- 劇集總表 (共 6803 部) ---
名稱: (陸劇)(1995) 道北人 | 代碼: 2539754
名稱: (陸劇)(1995) 無悔追蹤 | 代碼: 2540509
名稱: (陸劇)(1995) 昨夜長風 | 代碼: 2541204
名稱: (陸劇)(1995) 嘿！小海軍 | 代碼: 2542356
名稱: (陸劇)(1995) 觀世音傳奇 | 代碼: 2543649
名稱: (陸劇)(1995) 英雄無淚 | 代碼: 2544156
名稱: (陸劇)(1995) 裸情恨 | 代碼: 2548651
名稱: (陸劇)(1995) 情債 | 代碼: 255336
名稱: (陸劇)(1995) 蝴蝶蘭 | 代碼: 255556
名稱: (陸劇)(1995) 羅貫中 | 代碼: 2556373
名稱: (陸劇)(1995) 今生今世 | 代碼: 2556977
名稱: (陸劇)(1995) 白眉大俠 | 代碼: 2557047
名稱: (陸劇)(1995) 都市疑案 | 代碼: 2563471
名稱: (陸劇)(1995) 弘一大師 | 代碼: 2566760
名稱: (陸劇)(1995) 賭王風雲 | 代碼: 2576952
名稱: (陸劇)(1995) 盛世華衣 | 代碼: 2582437
名稱: (陸劇)(1995) 牌坊 | 代碼: 2587862
名稱: (陸劇)(1995) 花落花開 | 代碼: 258842
名稱: (陸劇)(1995) 姐姐妹妹闖北京 | 代碼: 2588461
名稱: (陸劇)(1995) 重案探組 | 代碼: 2598634
名稱: (陸劇)(1996) 漢口往事 | 代碼: 2600471
名稱: (陸劇)(1996) 胡雪岩 | 代碼: 2600692
名稱: (陸劇)(1996) 粉墨奇冤 | 代碼: 2600767
名稱: (陸劇)(1996) 駝道 | 代碼: 2601168
名稱: (陸劇)(1996) 火燒阿房宮 | 代碼: 2610899
名稱: (陸劇)(1996) 真空愛情記錄 | 代碼: 2611902
名稱: (陸劇)(1996) 春花子 | 代碼: 2612722
名稱: (陸劇)(1996) 漢宮飛燕 | 代碼: 2614592
名稱: (陸劇)(1996) 和平年代 | 代碼: 2618089
名稱: (陸劇)(1996) 愛情幫你辦 | 代碼: 2618347
名稱: (陸劇)(1996) 遠東陰謀 | 代碼: 2618541
名稱: (陸劇)(1996) 情劍山河 | 代碼: 2623505
名稱: (陸劇)(1996) 警苑神掌 | 代碼: 262543
名稱: (陸劇)(1996) 狼行拂曉 | 代碼: 2625477
名稱: (陸劇)(1996) 呼嘯山鄉 | 代碼: 2626933
名稱: (陸劇)(1996) 紐約風暴 | 代碼: 2626979
名稱: (陸劇)(1996) 後媽 | 代碼: 2627064
名稱: (陸劇)(1996) 西施 | 代碼: 2627196
名稱: (陸劇)(1996) 孽海情緣 | 代碼: 2627730
名稱: (陸劇)(1996) 如煙舊事 | 代碼: 2630601
名稱: (陸劇)(1996) 宰相劉羅鍋 | 代碼: 2641068
名稱: (陸劇)(1996) 血色婚戀 | 代碼: 2641838
名稱: (陸劇)(1996) 華東剿匪記 | 代碼: 2642141
名稱: (陸劇)(1996) 夜深人不靜 | 代碼: 2642482
名稱: (陸劇)(1996) 東周列國·春秋篇 | 代碼: 2643666
名稱: (陸劇)(1996) 相煎上海灘 | 代碼: 2644658
名稱: (陸劇)(1996) 孟薑女 | 代碼: 2651087
名稱: (陸劇)(1996) 梁紅玉 | 代碼: 2653337
名稱: (陸劇)(1996) 夢幻天使 | 代碼: 265557
名稱: (陸劇)(1996) 三毛流浪記 | 代碼: 2658520
名稱: (陸劇)(1996) 甘十九妹 | 代碼: 2658911
名稱: (陸劇)(1996) 愛情女偵探 | 代碼: 2664333
名稱: (陸劇)(1996) 漢武帝 | 代碼: 2676402
名稱: (陸劇)(1996) 武訓 | 代碼: 2676724
名稱: (陸劇)(1996) 香江入海 | 代碼: 2680505
名稱: (陸劇)(1996) 大宋疑雲 | 代碼: 268552
名稱: (陸劇)(1996) 上海探戈 | 代碼: 2689054
名稱: (陸劇)(1996) 雷雨 | 代碼: 2691428
名稱: (陸劇)(1996) 無言的旅程 | 代碼: 2692995
名稱: (陸劇)(1996) 走出盆地 | 代碼: 269329
名稱: (陸劇)(1996) 闖上海 | 代碼: 2695935
名稱: (陸劇)(1996) 熊貓京京 | 代碼: 2696909
名稱: (陸劇)(1996) 僵屍道長2 | 代碼: 2699103
名稱: (陸劇)(1997) 上海故事 | 代碼: 2700994
名稱: (陸劇)(1997) 香堂往事 | 代碼: 2701445
名稱: (陸劇)(1997) 候車大廳 | 代碼: 2710598
名稱: (陸劇)(1997) 山城棒棒軍 | 代碼: 2711979
名稱: (陸劇)(1997) 希望不流淚 | 代碼: 2715593
名稱: (陸劇)(1997) 家家有本難念的經 | 代碼: 2718338
名稱: (陸劇)(1997) 紅處方 | 代碼: 271986
名稱: (陸劇)(1997) 花祭 | 代碼: 2722126
名稱: (陸劇)(1997) 大人物李德林 | 代碼: 2731029
名稱: (陸劇)(1997) 紅杏出牆記 | 代碼: 2731830
名稱: (陸劇)(1997) 法門寺猜想 | 代碼: 2741111
名稱: (陸劇)(1997) 反貪風暴 | 代碼: 2743012
名稱: (陸劇)(1997) 劉三姐 | 代碼: 2746985
名稱: (陸劇)(1997) 真命小和尚之十二銅人 | 代碼: 2751058
名稱: (陸劇)(1997) 抉擇 | 代碼: 2754056
名稱: (陸劇)(1997) 康熙微服私訪記1 | 代碼: 2754515
名稱: (陸劇)(1997) 歲月如歌 | 代碼: 275510
名稱: (陸劇)(1997) 你在哪里逗留 | 代碼: 2756023
名稱: (陸劇)(1997) 司馬遷 | 代碼: 2757078
名稱: (陸劇)(1997) 金猴小隊 | 代碼: 2757140
名稱: (陸劇)(1997) 紅十字方隊 | 代碼: 2757148
名稱: (陸劇)(1997) 老房子 | 代碼: 2759003
名稱: (陸劇)(1997) 保鏢之翡翠娃娃 | 代碼: 2759145
名稱: (陸劇)(1997) 太極宗師 | 代碼: 2762084
名稱: (陸劇)(1997) 真命小和尚 | 代碼: 2763557
名稱: (陸劇)(1997) 玉人簫 | 代碼: 2764885
名稱: (陸劇)(1997) 今冬不言情 | 代碼: 2766263
名稱: (陸劇)(1997) 金海情 | 代碼: 2766576
名稱: (陸劇)(1997) 王先生和小陳 | 代碼: 2767094
名稱: (陸劇)(1997) 小女人 | 代碼: 2770939
名稱: (陸劇)(1997) 不再流淚的女人 | 代碼: 2776772
名稱: (陸劇)(1997) 風雨梅家樓 | 代碼: 2778076
名稱: (陸劇)(1997) 風雪夜歸人 | 代碼: 2778764
名稱: (陸劇)(1997) 林則徐 | 代碼: 2778954
名稱: (陸劇)(1997) 紫藤花園 | 代碼: 2779045
名稱: (陸劇)(1997) 我家的故事 | 代碼: 2788257
名稱: (陸劇)(1997) 大秦腔 | 代碼: 2789268
名稱: (陸劇)(1997) 寇老西兒 | 代碼: 2789671
名稱: (陸劇)(1997) 走入歐洲 | 代碼: 2796153
名稱: (陸劇)(1997) 新亂世佳人 | 代碼: 2798439
名稱: (陸劇)(1997) 南方有嘉木 | 代碼: 2798723
名稱: (陸劇)(1998) 婆婆媳婦小姑 | 代碼: 2810836
名稱: (陸劇)(1998) 呂後傳奇 | 代碼: 2811974
名稱: (陸劇)(1998) 人蟲 | 代碼: 2814559
名稱: (陸劇)(1998) 妙善公主 | 代碼: 2818454
名稱: (陸劇)(1998) 亂世英豪 | 代碼: 2820309
名稱: (陸劇)(1998) 股市人生 | 代碼: 2821113
名稱: (陸劇)(1998) 回頭是愛 | 代碼: 282214
名稱: (陸劇)(1998) 浮生情緣 | 代碼: 282437
名稱: (陸劇)(1998) 警壇風雲 | 代碼: 2825475
名稱: (陸劇)(1998) 中華大丈夫 | 代碼: 2825835
名稱: (陸劇)(1998) 母親 | 代碼: 2825874
名稱: (陸劇)(1998) 柔情俠客 | 代碼: 282671
名稱: (陸劇)(1998) 珍珠塔新傳 | 代碼: 2827216
名稱: (陸劇)(1998) 聊齋先生 | 代碼: 2828465
名稱: (陸劇)(1998) 蟋蟀王傳奇 | 代碼: 2829137
名稱: (陸劇)(1998) 阿郎在北京 | 代碼: 2829734
名稱: (陸劇)(1998) 嫂子 | 代碼: 2829737
名稱: (陸劇)(1998) 倩女奇冤 | 代碼: 2831801
名稱: (陸劇)(1998) 李氏家族 | 代碼: 2832293
名稱: (陸劇)(1998) 藍色三環 | 代碼: 2837298
名稱: (陸劇)(1998) 上官婉兒 | 代碼: 2839136
名稱: (陸劇)(1998) 濠江有情 | 代碼: 2839809
名稱: (陸劇)(1998) 血染罌粟 | 代碼: 2840238
名稱: (陸劇)(1998) 女人在家 | 代碼: 2840543
名稱: (陸劇)(1998) 一鄉之長 | 代碼: 2842480
名稱: (陸劇)(1998) 神廚 | 代碼: 2845465
名稱: (陸劇)(1998) 家里家外 | 代碼: 285135
名稱: (陸劇)(1998) 李叔同 | 代碼: 2852049
名稱: (陸劇)(1998) 難忘歲月——紅旗渠的故事 | 代碼: 2853176
名稱: (陸劇)(1998) 夢圓何方 | 代碼: 285538
名稱: (陸劇)(1998) 珍珠翡翠白玉湯 | 代碼: 285604
名稱: (陸劇)(1998) 將愛情進行到底 | 代碼: 2859021
名稱: (陸劇)(1998) 漢劉邦 | 代碼: 2859049
名稱: (陸劇)(1998) 保鏢之天之嬌女 | 代碼: 2859143
名稱: (陸劇)(1998) 水滸傳 | 代碼: 286342
名稱: (陸劇)(1998) 警界傳奇 | 代碼: 2865496
名稱: (陸劇)(1998) 風雨一世情 | 代碼: 2876510
名稱: (陸劇)(1998) 三坊七巷 | 代碼: 2877474
名稱: (陸劇)(1998) 無花的夾竹桃 | 代碼: 2878077
名稱: (陸劇)(1998) 相思年代 | 代碼: 2878078
名稱: (陸劇)(1998) 表演系的故事 | 代碼: 2880520
名稱: (陸劇)(1998) 財神爺 | 代碼: 2882157
名稱: (陸劇)(1998) 警匪較量珠三角 | 代碼: 2882475
名稱: (陸劇)(1998) 的士大劫案 | 代碼: 2883291
名稱: (陸劇)(1998) 琉璃廠傳奇 | 代碼: 2883397
名稱: (陸劇)(1998) 大漠豪情 | 代碼: 2888178
名稱: (陸劇)(1998) 老房有喜 | 代碼: 2888525
名稱: (陸劇)(1998) 左宗棠 | 代碼: 2888936
名稱: (陸劇)(1998) 龍堂 | 代碼: 2889536
名稱: (陸劇)(1998) 亂世妖後 | 代碼: 2890131
名稱: (陸劇)(1998) 來來往往 | 代碼: 2891420
名稱: (陸劇)(1998) 水滸後傳 | 代碼: 2897553
名稱: (陸劇)(1998) 濟公游記 | 代碼: 2898607
名稱: (陸劇)(1999) 沒有家園的靈魂 | 代碼: 2900946
名稱: (陸劇)(1999) 家有仙妻2 | 代碼: 2913947
名稱: (陸劇)(1999) 新聞小姐 | 代碼: 2914152
名稱: (陸劇)(1999) 白發魔女 | 代碼: 2916705
名稱: (陸劇)(1999) 生死較量 | 代碼: 2916719
名稱: (陸劇)(1999) 紹興師爺 | 代碼: 2917295
名稱: (陸劇)(1999) 英雄孟良崮 | 代碼: 2918383
名稱: (陸劇)(1999) 牽手 | 代碼: 2926793
名稱: (陸劇)(1999) 混世奇才龐振坤 | 代碼: 2927198
名稱: (陸劇)(1999) 古城童話 | 代碼: 293223
名稱: (陸劇)(1999) 雍正王朝 | 代碼: 2932357
名稱: (陸劇)(1999) 陳雲在1949 | 代碼: 2934198
名稱: (陸劇)(1999) 紅塵往事 | 代碼: 2934540
名稱: (陸劇)(1999) 恨也深深愛也深深 | 代碼: 2934600
名稱: (陸劇)(1999) 黃克誠 | 代碼: 2937299
名稱: (陸劇)(1999) 田教授家的28個保姆 | 代碼: 2940513
名稱: (陸劇)(1999) 刑警本色 | 代碼: 2942534
名稱: (陸劇)(1999) 12·1槍殺大案 | 代碼: 294969
名稱: (陸劇)(1999) 神捕 | 代碼: 2950560
名稱: (陸劇)(1999) 鐵血警魂 | 代碼: 2951458
名稱: (陸劇)(1999) 罪證 | 代碼: 2953538
名稱: (陸劇)(1999) 大哥，你好 | 代碼: 2954667
名稱: (陸劇)(1999) 一級恐懼 | 代碼: 2955297
名稱: (陸劇)(1999) 開國領袖毛澤東 | 代碼: 2958527
名稱: (陸劇)(1999) 保鏢之情人保鏢 | 代碼: 2959144
名稱: (陸劇)(1999) 蓮花童子哪吒 | 代碼: 2963823
名稱: (陸劇)(1999) 澳門的故事 | 代碼: 2964040
名稱: (陸劇)(1999) 揚州八怪 | 代碼: 2964521
名稱: (陸劇)(1999) 千嬌百媚 | 代碼: 2969832
名稱: (陸劇)(1999) 東周列國·戰國篇 | 代碼: 2973971
名稱: (陸劇)(1999) 燕子李三 | 代碼: 2974705
名稱: (陸劇)(1999) 霹靂菩薩 | 代碼: 2975028
名稱: (陸劇)(1999) 烏丫傳說 | 代碼: 2976339
名稱: (陸劇)(1999) 秦可卿之謎 | 代碼: 2976792
名稱: (陸劇)(1999) 中國武警 | 代碼: 2977781
名稱: (陸劇)(1999) 屈原 | 代碼: 2978079
名稱: (陸劇)(1999) 居委主任 | 代碼: 2980994
名稱: (陸劇)(1999) 小李飛刀 | 代碼: 2981607
名稱: (陸劇)(1999) 真情告白 | 代碼: 2981612
名稱: (陸劇)(1999) 紅色警戒 | 代碼: 2983483
名稱: (陸劇)(1999) 情緣遺恨 | 代碼: 298555
名稱: (陸劇)(1999) 鳳陽小子朱元璋 | 代碼: 2986619
名稱: (陸劇)(1999) 新少林寺 | 代碼: 298928
名稱: (陸劇)(1999) 曹操 | 代碼: 2991538
名稱: (陸劇)(1999) 康熙微服私訪記2 | 代碼: 2992641
名稱: (陸劇)(1999) 犯罪升級 | 代碼: 2996152
名稱: (陸劇)(2000) 包公出巡之夢回青樓 | 代碼: 3000078
名稱: (陸劇)(2000) 八歲龍爺鬧東京 | 代碼: 3010093
名稱: (陸劇)(2000) 亂世奇俠之騙俠 | 代碼: 3011981
名稱: (陸劇)(2000) 貧嘴張大民的幸福生活 | 代碼: 3012023
名稱: (陸劇)(2000) 十品官吳山羊 | 代碼: 3018467
名稱: (陸劇)(2000) 獄中麗人 | 代碼: 3021311
名稱: (陸劇)(2000) 永不瞑目 | 代碼: 3023490
名稱: (陸劇)(2000) 絕路 | 代碼: 3023584
名稱: (陸劇)(2000) 生死路上 | 代碼: 3025476
名稱: (陸劇)(2000) 福祿雙全 | 代碼: 3028746
名稱: (陸劇)(2000) 心網 | 代碼: 3030408
名稱: (陸劇)(2000) 突出重圍 | 代碼: 3034663
名稱: (陸劇)(2000) 中關村風雲 | 代碼: 3035650
名稱: (陸劇)(2000) 百集聊齋之人鬼情緣 | 代碼: 3036378
名稱: (陸劇)(2000) 紅蜘蛛1：十個女囚的臨終告白 | 代碼: 303674
名稱: (陸劇)(2000) 邊城落日 | 代碼: 3038937
名稱: (陸劇)(2000) 清末四大冤案之衙門口 | 代碼: 3045511
名稱: (陸劇)(2000) 孫子兵法與三十六計 | 代碼: 3046941
名稱: (陸劇)(2000) 西游記後傳 | 代碼: 3047461
名稱: (陸劇)(2000) 鋼鐵是怎樣煉成的 | 代碼: 3048371
名稱: (陸劇)(2000) 口紅 | 代碼: 304918
名稱: (陸劇)(2000) 明星制造 | 代碼: 3049214
名稱: (陸劇)(2000) 榮譽 | 代碼: 3049346
名稱: (陸劇)(2000) 風雲歲月 | 代碼: 305015
名稱: (陸劇)(2000) 仰頭老婆低頭漢 | 代碼: 3052064
名稱: (陸劇)(2000) 康熙微服私訪記3 | 代碼: 3054518
名稱: (陸劇)(2000) 秀水街 | 代碼: 3055025
名稱: (陸劇)(2000) 大明宮詞 | 代碼: 3056641
名稱: (陸劇)(2000) 女子特警隊 | 代碼: 3057145
名稱: (陸劇)(2000) 背叛 | 代碼: 3057733
名稱: (陸劇)(2000) 太平天國 | 代碼: 3058430
名稱: (陸劇)(2000) 西游記續集 | 代碼: 3058449
名稱: (陸劇)(2000) 少年包青天 | 代碼: 3058913
名稱: (陸劇)(2000) 山野 | 代碼: 3060389
名稱: (陸劇)(2000) 超市麻辣燙 | 代碼: 3061179
名稱: (陸劇)(2000) 青河絕戀 | 代碼: 3061392
名稱: (陸劇)(2000) 忠勇小狀元 | 代碼: 3062194
名稱: (陸劇)(2000) 紅問號 | 代碼: 3063987
名稱: (陸劇)(2000) 完全婚姻手冊 | 代碼: 3064089
名稱: (陸劇)(2000) 最高利益 | 代碼: 306485
名稱: (陸劇)(2000) 金搏虎 | 代碼: 3064876
名稱: (陸劇)(2000) 天使行動 | 代碼: 3065509
名稱: (陸劇)(2000) 光榮之旅 | 代碼: 3066652
名稱: (陸劇)(2000) 閑人馬大姐 | 代碼: 3069800
名稱: (陸劇)(2000) 尚方寶劍 | 代碼: 3070491
名稱: (陸劇)(2000) 一號圍捕令 | 代碼: 307214
名稱: (陸劇)(2000) 春光燦爛豬八戒 | 代碼: 3072327
名稱: (陸劇)(2000) 亂世飄萍 | 代碼: 3076509
名稱: (陸劇)(2000) 男人不難嫁 | 代碼: 3076692
名稱: (陸劇)(2000) 表妹進城 | 代碼: 307757
名稱: (陸劇)(2000) 非凡使命 | 代碼: 3080633
名稱: (陸劇)(2000) 浪漫之旅 | 代碼: 308139
名稱: (陸劇)(2000) 三少爺的劍 | 代碼: 3081617
名稱: (陸劇)(2000) 紫荊勛章 | 代碼: 3082926
名稱: (陸劇)(2000) 夏季無風 | 代碼: 3084671
名稱: (陸劇)(2000) 亂世桃花 | 代碼: 3089216
名稱: (陸劇)(2000) 一腳定江山 | 代碼: 3089221
名稱: (陸劇)(2000) 絕命鴛鴦 | 代碼: 3089282
名稱: (陸劇)(2000) 包公出巡之明鏡高懸 | 代碼: 3090093
名稱: (陸劇)(2000) 都市巡警 | 代碼: 3090427
名稱: (陸劇)(2000) 外來媳婦本地郎 | 代碼: 3091718
名稱: (陸劇)(2000) 中華英豪 | 代碼: 3094601
名稱: (陸劇)(2000) 堆積情感 | 代碼: 3096154
名稱: (陸劇)(2000) 做我太太一百天 | 代碼: 3096729
名稱: (陸劇)(2000) 命案十三宗 | 代碼: 3096891
名稱: (陸劇)(2001) 朱德元帥 | 代碼: 3100358
名稱: (陸劇)(2001) 威脅 | 代碼: 3101516
名稱: (陸劇)(2001) 愛是陽光 | 代碼: 3101733
名稱: (陸劇)(2001) 李衛當官 | 代碼: 3111828
名稱: (陸劇)(2001) 楊門女將 | 代碼: 3112002
名稱: (陸劇)(2001) 東西奇遇結良緣 | 代碼: 3112024
名稱: (陸劇)(2001) 皇宮寶貝 | 代碼: 3112026
名稱: (陸劇)(2001) 野丫頭 | 代碼: 3112206
名稱: (陸劇)(2001) 殺青 | 代碼: 3115198
名稱: (陸劇)(2001) 黑洞 | 代碼: 3118161
名稱: (陸劇)(2001) 黑冰 | 代碼: 3118165
名稱: (陸劇)(2001) 大雪無痕 | 代碼: 3118180
名稱: (陸劇)(2001) 終極使命 | 代碼: 3118477
名稱: (陸劇)(2001) 涉外保姆 | 代碼: 311928
名稱: (陸劇)(2001) 呂不韋傳奇 | 代碼: 3120306
名稱: (陸劇)(2001) 警察世家 | 代碼: 3120637
名稱: (陸劇)(2001) 背叛 | 代碼: 3120865
名稱: (陸劇)(2001) 寶帖傳奇 | 代碼: 3121812
名稱: (陸劇)(2001) 天地傳說之寶蓮燈 | 代碼: 3123389
名稱: (陸劇)(2001) 欲望的代價 | 代碼: 3123919
名稱: (陸劇)(2001) 虎嘯蒼穹 | 代碼: 3125336
名稱: (陸劇)(2001) 心疼女人 | 代碼: 3126188
名稱: (陸劇)(2001) 佛跳牆 | 代碼: 3127070
名稱: (陸劇)(2001) 九歲縣太爺 | 代碼: 3127072
名稱: (陸劇)(2001) 風流才子紀曉嵐 | 代碼: 3128704
名稱: (陸劇)(2001) 新女駙馬 | 代碼: 3128856
名稱: (陸劇)(2001) 天地良心 | 代碼: 3130501
名稱: (陸劇)(2001) 上錯花轎嫁對郎 | 代碼: 3131358
名稱: (陸劇)(2001) 康熙王朝 | 代碼: 3132372
